ParticipantID,TrialNumber,Condition,RealismLikert_1to7,VisualHapticCongruence_YesNo,Notes
P08,2,LightVisual_LightHaptic,6,YES,
P08,3,HeavyVisual_HeavyHaptic,7,YES,
P08,4,LightVisual_MediumHaptic,5,NO,
P08,5,HeavyVisual_MediumHaptic,4,NO,
P08,6,MediumVisual_HeavyHaptic,4,NO,
P08,7,HeavyVisual_LightHaptic,1,NO,
P08,8,MediumVisual_MediumHaptic,6,YES,
P08,9,MediumVisual_LightHaptic,4,NO,
P08,10,HeavyVisual_MediumHaptic,5,NO,
P08,11,MediumVisual_MediumHaptic,7,YES,
P08,12,LightVisual_LightHaptic,5,YES,
P08,13,HeavyVisual_LightHaptic,2,NO,
P08,14,LightVisual_HeavyHaptic,3,NO,
P08,15,LightVisual_MediumHaptic,3,NO,
P08,16,MediumVisual_HeavyHaptic,4,NO,
P08,17,MediumVisual_LightHaptic,4,NO,
P08,18,HeavyVisual_HeavyHaptic,6,YES,
P08,19,MediumVisual_LightHaptic,4,NO,
P08,20,LightVisual_LightHaptic,5,YES,
P08,21,LightVisual_MediumHaptic,5,YES,
P08,22,HeavyVisual_HeavyHaptic,6,YES,
P08,23,HeavyVisual_LightHaptic,1,NO,
P08,24,MediumVisual_HeavyHaptic,3,YES,
P08,25,HeavyVisual_MediumHaptic,4,NO,
P08,26,MediumVisual_MediumHaptic,6,YES,
P08,27,LightVisual_HeavyHaptic,2,NO,
P08,28,HeavyVisual_HeavyHaptic,6,YES,
P08,29,LightVisual_LightHaptic,6,YES,
P08,30,LightVisual_MediumHaptic,3,NO,
P08,31,HeavyVisual_LightHaptic,2,NO,
P08,32,LightVisual_HeavyHaptic,3,NO,
P08,33,MediumVisual_LightHaptic,4,NO,
P08,34,MediumVisual_HeavyHaptic,3,NO,
P08,35,MediumVisual_MediumHaptic,6,YES,
P08,36,HeavyVisual_MediumHaptic,3,NO,
P09,1,HeavyVisual_HeavyHaptic,7,YES,
P09,2,HeavyVisual_LightHaptic,3,NO,
P09,3,LightVisual_LightHaptic,6,YES,
P09,4,MediumVisual_HeavyHaptic,5,NO,
P09,5,MediumVisual_MediumHaptic,6,YES,
P09,6,LightVisual_MediumHaptic,4,NO,
P09,7,MediumVisual_LightHaptic,5,NO,
P09,8,LightVisual_HeavyHaptic,1,NO,
P09,9,HeavyVisual_MediumHaptic,3,NO,
P09,10,MediumVisual_LightHaptic,5,NO,
P09,11,HeavyVisual_MediumHaptic,5,NO,
P09,12,LightVisual_MediumHaptic,5,NO,
P09,13,LightVisual_LightHaptic,6,YES,
P09,14,LightVisual_HeavyHaptic,1,NO,
P09,15,MediumVisual_MediumHaptic,7,YES,
P09,16,HeavyVisual_HeavyHaptic,6,YES,
P09,17,MediumVisual_HeavyHaptic,4,YES,
P09,18,HeavyVisual_LightHaptic,1,NO,
P09,19,LightVisual_LightHaptic,5,NO,
P09,20,MediumVisual_HeavyHaptic,3,NO,
P09,21,LightVisual_MediumHaptic,4,NO,
P09,22,HeavyVisual_HeavyHaptic,6,YES,
P09,23,HeavyVisual_LightHaptic,1,NO,
P09,24,MediumVisual_MediumHaptic,6,YES,
P09,25,MediumVisual_LightHaptic,4,NO,
P09,26,LightVisual_HeavyHaptic,1,NO,
P09,27,HeavyVisual_MediumHaptic,3,NO,
P09,28,LightVisual_HeavyHaptic,2,NO,
P09,29,MediumVisual_MediumHaptic,7,YES,
P09,30,LightVisual_LightHaptic,6,YES,
P09,31,MediumVisual_LightHaptic,4,NO,
P09,32,HeavyVisual_HeavyHaptic,6,YES,
P09,33,LightVisual_MediumHaptic,4,NO,
P09,34,HeavyVisual_LightHaptic,2,NO,
P09,35,MediumVisual_HeavyHaptic,4,NO,
P09,36,HeavyVisual_MediumHaptic,3,NO,
P10,1,HeavyVisual_HeavyHaptic,6,YES,
P10,2,LightVisual_MediumHaptic,4,NO,
P10,3,LightVisual_LightHaptic,7,YES,
P10,4,HeavyVisual_MediumHaptic,3,NO,
P10,5,MediumVisual_LightHaptic,4,NO,
P10,6,LightVisual_HeavyHaptic,3,NO,
P10,7,MediumVisual_HeavyHaptic,5,NO,
P10,8,HeavyVisual_LightHaptic,3,NO,
P10,9,MediumVisual_MediumHaptic,7,NO,
P10,10,LightVisual_LightHaptic,7,YES,
P10,11,HeavyVisual_LightHaptic,3,NO,
P10,12,MediumVisual_HeavyHaptic,3,NO,
P10,13,LightVisual_HeavyHaptic,1,NO,
P10,14,MediumVisual_MediumHaptic,6,YES,
P10,15,MediumVisual_LightHaptic,6,YES,
P10,16,HeavyVisual_HeavyHaptic,7,NO,
P10,17,LightVisual_MediumHaptic,5,NO,
P10,18,HeavyVisual_MediumHaptic,3,NO,
P10,19,LightVisual_MediumHaptic,4,NO,
P10,20,HeavyVisual_HeavyHaptic,6,YES,
P10,21,HeavyVisual_MediumHaptic,3,NO,
P10,22,LightVisual_HeavyHaptic,2,NO,
P10,23,MediumVisual_LightHaptic,3,NO,
P10,24,MediumVisual_HeavyHaptic,3,YES,
P10,25,HeavyVisual_LightHaptic,2,NO,
P10,26,LightVisual_LightHaptic,6,YES,
P10,27,MediumVisual_MediumHaptic,6,YES,
P10,28,MediumVisual_HeavyHaptic,4,NO,
P10,29,MediumVisual_LightHaptic,4,NO,
P10,30,LightVisual_LightHaptic,6,YES,
P10,31,LightVisual_HeavyHaptic,2,NO,
P10,32,HeavyVisual_HeavyHaptic,6,YES,
P10,33,LightVisual_MediumHaptic,4,NO,
P10,34,HeavyVisual_LightHaptic,2,NO,
P10,35,MediumVisual_MediumHaptic,6,YES,
P10,36,HeavyVisual_MediumHaptic,2,NO,
P11,1,HeavyVisual_HeavyHaptic,6,YES,
P11,2,HeavyVisual_MediumHaptic,5,YES,
P11,3,LightVisual_MediumHaptic,4,NO,
P11,4,MediumVisual_MediumHaptic,6,YES,
P11,5,MediumVisual_LightHaptic,4,NO,
P11,6,LightVisual_LightHaptic,7,YES,
P11,7,MediumVisual_HeavyHaptic,5,YES,
P11,8,HeavyVisual_LightHaptic,2,NO,
P11,9,LightVisual_HeavyHaptic,3,YES,
P11,10,HeavyVisual_HeavyHaptic,7,YES,
P11,11,MediumVisual_MediumHaptic,6,YES,
P11,12,LightVisual_LightHaptic,6,YES,
P11,13,LightVisual_HeavyHaptic,3,NO,
P11,14,LightVisual_MediumHaptic,5,NO,
P11,15,HeavyVisual_LightHaptic,1,NO,
P11,16,HeavyVisual_MediumHaptic,4,YES,
P11,17,MediumVisual_LightHaptic,2,YES,
P11,18,MediumVisual_HeavyHaptic,4,NO,
P11,19,MediumVisual_MediumHaptic,7,YES,
P11,20,HeavyVisual_MediumHaptic,3,NO,
P11,21,HeavyVisual_LightHaptic,3,NO,
P11,22,LightVisual_MediumHaptic,4,NO,
P11,23,LightVisual_HeavyHaptic,1,NO,
P11,24,MediumVisual_LightHaptic,4,YES,
P11,25,LightVisual_LightHaptic,6,YES,
P11,26,MediumVisual_HeavyHaptic,4,NO,
P11,27,HeavyVisual_HeavyHaptic,5,NO,
P11,28,LightVisual_HeavyHaptic,2,NO,
P11,29,HeavyVisual_HeavyHaptic,5,YES,
P11,30,HeavyVisual_MediumHaptic,4,NO,
P11,31,LightVisual_LightHaptic,6,YES,
P11,32,MediumVisual_MediumHaptic,5,YES,
P11,33,HeavyVisual_LightHaptic,2,NO,
P11,34,MediumVisual_HeavyHaptic,5,NO,
P11,35,MediumVisual_LightHaptic,3,YES,
P11,36,LightVisual_MediumHaptic,4,NO,
P12,1,HeavyVisual_LightHaptic,3,NO,
P12,2,LightVisual_HeavyHaptic,3,NO,
P12,3,HeavyVisual_HeavyHaptic,6,YES,
P12,4,LightVisual_LightHaptic,6,YES,
P12,5,MediumVisual_LightHaptic,3,NO,
P12,6,HeavyVisual_MediumHaptic,5,NO,
P12,7,LightVisual_MediumHaptic,4,NO,
P12,8,MediumVisual_HeavyHaptic,3,NO,
P12,9,MediumVisual_MediumHaptic,6,YES,
P12,10,MediumVisual_LightHaptic,4,NO,
P12,11,HeavyVisual_MediumHaptic,5,NO,
P12,12,MediumVisual_MediumHaptic,6,YES,
P12,13,HeavyVisual_HeavyHaptic,6,YES,
P12,14,LightVisual_HeavyHaptic,2,NO,
P12,15,MediumVisual_HeavyHaptic,5,NO,
P12,16,LightVisual_LightHaptic,7,YES,
P12,17,HeavyVisual_LightHaptic,2,NO,
P12,18,LightVisual_MediumHaptic,5,NO,
P12,19,HeavyVisual_LightHaptic,1,NO,
P12,20,LightVisual_MediumHaptic,3,NO,
P12,21,MediumVisual_MediumHaptic,6,YES,
P12,22,LightVisual_HeavyHaptic,2,NO,
P12,23,MediumVisual_LightHaptic,3,NO,
P12,24,LightVisual_LightHaptic,6,YES,
P12,25,HeavyVisual_MediumHaptic,4,NO,
P12,26,MediumVisual_HeavyHaptic,4,NO,
P12,27,HeavyVisual_HeavyHaptic,5,YES,
P12,28,LightVisual_MediumHaptic,4,NO,
P12,29,MediumVisual_LightHaptic,4,NO,
P12,30,HeavyVisual_LightHaptic,2,NO,
P12,31,HeavyVisual_HeavyHaptic,6,YES,
P12,32,MediumVisual_HeavyHaptic,3,NO,
P12,33,LightVisual_HeavyHaptic,2,NO,
P12,34,HeavyVisual_MediumHaptic,4,NO,
P12,35,MediumVisual_MediumHaptic,5,YES,
P12,36,LightVisual_LightHaptic,5,YES,
P13,1,MediumVisual_MediumHaptic,7,YES,
P13,2,LightVisual_MediumHaptic,5,NO,
P13,3,MediumVisual_HeavyHaptic,5,NO,
P13,4,LightVisual_HeavyHaptic,2,NO,
P13,5,HeavyVisual_MediumHaptic,5,NO,
P13,6,MediumVisual_LightHaptic,5,NO,
P13,7,HeavyVisual_HeavyHaptic,7,YES,
P13,8,HeavyVisual_LightHaptic,3,NO,
P13,9,LightVisual_LightHaptic,6,YES,
P13,10,HeavyVisual_MediumHaptic,4,NO,
P13,11,MediumVisual_MediumHaptic,6,YES,
P13,12,LightVisual_MediumHaptic,3,NO,
P13,13,MediumVisual_HeavyHaptic,3,NO,
P13,14,MediumVisual_LightHaptic,6,NO,
P13,15,LightVisual_LightHaptic,5,YES,
P13,16,LightVisual_HeavyHaptic,2,NO,
P13,17,HeavyVisual_HeavyHaptic,6,YES,
P13,18,HeavyVisual_LightHaptic,2,YES,
P13,19,MediumVisual_MediumHaptic,6,YES,
P13,20,LightVisual_HeavyHaptic,3,NO,
P13,21,HeavyVisual_HeavyHaptic,7,YES,
P13,22,LightVisual_MediumHaptic,5,NO,
P13,23,HeavyVisual_LightHaptic,3,YES,
P13,24,MediumVisual_LightHaptic,4,NO,
P13,25,LightVisual_LightHaptic,6,YES,
P13,26,MediumVisual_HeavyHaptic,4,NO,
P13,27,HeavyVisual_MediumHaptic,5,NO,
P13,28,MediumVisual_MediumHaptic,6,YES,
P13,29,LightVisual_LightHaptic,6,YES,
P13,30,HeavyVisual_LightHaptic,2,YES,
P13,31,HeavyVisual_MediumHaptic,3,NO,
P13,32,MediumVisual_HeavyHaptic,1,NO,
P13,33,LightVisual_HeavyHaptic,1,NO,
P13,34,MediumVisual_LightHaptic,5,NO,
P13,35,LightVisual_MediumHaptic,4,NO,
P13,36,HeavyVisual_HeavyHaptic,6,YES,
P14,1,HeavyVisual_LightHaptic,3,NO,
P14,2,LightVisual_LightHaptic,6,YES,
P14,3,HeavyVisual_MediumHaptic,6,YES,
P14,4,LightVisual_HeavyHaptic,3,NO,
P14,5,MediumVisual_LightHaptic,5,YES,
P14,6,HeavyVisual_HeavyHaptic,5,YES,
P14,7,MediumVisual_MediumHaptic,6,YES,
P14,8,LightVisual_MediumHaptic,4,NO,
P14,9,MediumVisual_HeavyHaptic,5,NO,
P14,10,LightVisual_LightHaptic,5,YES,
P14,11,MediumVisual_LightHaptic,4,NO,
P14,12,HeavyVisual_LightHaptic,3,NO,
P14,13,LightVisual_HeavyHaptic,2,NO,
P14,14,HeavyVisual_MediumHaptic,4,NO,
P14,15,HeavyVisual_HeavyHaptic,6,YES,
P14,16,MediumVisual_MediumHaptic,6,YES,
P14,17,LightVisual_MediumHaptic,5,NO,
P14,18,MediumVisual_HeavyHaptic,3,NO,
P14,19,HeavyVisual_MediumHaptic,3,NO,
P14,20,MediumVisual_HeavyHaptic,4,NO,
P14,21,LightVisual_LightHaptic,7,YES,
P14,22,HeavyVisual_LightHaptic,2,NO,
P14,23,MediumVisual_LightHaptic,4,NO,
P14,24,MediumVisual_MediumHaptic,7,YES,
P14,25,HeavyVisual_HeavyHaptic,7,YES,
P14,26,LightVisual_MediumHaptic,5,NO,
P14,27,LightVisual_HeavyHaptic,2,NO,
P14,28,MediumVisual_MediumHaptic,5,YES,
